timestamp_ms,value
0,-23
250,-23
500,-23
750,-23
1000,-23
1250,-23
1500,-23
1750,-23
2000,-23
2250,-23
2500,-23
2750,-23
3000,-23
3250,-23
3500,-23
3750,-23
4000,-23
4250,-23
4500,-23
4750,-23
5000,-23
5250,-23
5500,-23
5750,-23
6000,-23
6250,-23
6500,-23
6750,-23
7000,-23
7250,-23
7500,-23
7750,-23
8000,-23
8250,-23
8500,-23
8750,-23
9000,-23
9250,-23
9500,-23
9750,-23
10000,-23
10250,-23
10500,-23
10750,-23
11000,-23
11250,-23
11500,-23
11750,-23
12000,-23
12250,-23
12500,-23
12750,-23
13000,-23
13250,-23
13500,-23
13750,-23
14000,-23
14250,-23
14500,-23
14750,-23
15000,-23
15250,-23
15500,-23
15750,-23
16000,-23
16250,-23
16500,-23
16750,-23
17000,-23
17250,-23
17500,-23
17750,-23
18000,-23
18250,-23
18500,-23
18750,-23
19000,-23
19250,-23
19500,-23
19750,-23
20000,-23
20250,-23
20500,-23
20750,-23
21000,-23
21250,-23
21500,-23
21750,-23
22000,-23
22250,-23
22500,-23
22750,-23
23000,-23
23250,-23
23500,-23
23750,-23
24000,-23
24250,-23
24500,-23
24750,-23
25000,-23
25250,-23
25500,-23
25750,-23
26000,-23
26250,-23
26500,-23
26750,-23
27000,-23
27250,-23
27500,-23
27750,-23
28000,-23
28250,-23
28500,-23
28750,-23
29000,-23
29250,-23
29500,-23
29750,-23
30000,-23
30250,-23
30500,-23
30750,-23
31000,-23
31250,-23
31500,-23
31750,-23
32000,-23
32250,-23
32500,-23
32750,-23
33000,-23
33250,-23
33500,-23
33750,-23
34000,-23
34250,-23
34500,-23
34750,-23
35000,-23
35250,-23
35500,-23
35750,-23
36000,-23
36250,-23
36500,-23
36750,-23
37000,-23
37250,-23
37500,-23
37750,-23
38000,-23
38250,-23
38500,-23
38750,-23
39000,-23
39250,-23
39500,-23
39750,-23
40000,-23
40250,-23
40500,-23
40750,-23
41000,-23
41250,-23
41500,-23
41750,-23
42000,-23
42250,-23
42500,-23
42750,-23
43000,-23
43250,-23
43500,-23
43750,-23
44000,-23
44250,-23
44500,-23
44750,-23
45000,-23
45250,-23
45500,-23
45750,-23
46000,-23
46250,-23
46500,-23
46750,-23
47000,-23
47250,-23
47500,-23
47750,-23
48000,-23
48250,-23
48500,-23
48750,-23
49000,-23
49250,-23
49500,-23
49750,-23
50000,-23
50250,-23
50500,-23
